Nom_route,Num_bornea_route,Dist_metre_apres_bornea,Type_recensement,Classe_route,Declinaison_classe_route,Nom_compteur_perm,Num_borneb_route,Dis_metre_apres_borneb,Moy_jour_ann_tous_vehi_2009,Moy_jour_ann_poidsL_2009,Moy_jour_ann_tous_vehi_2010,Moy_jour_ann_poidsL_2010,Mode_comptage,LATITUDE,LONGITUDE
44 D0033,96,0,RG,RDL2,RDL,,96,0,2097,61,2120,64,CT_A1,47.3876837573,-2.43554360418
44 D0035,22,0,RG,RDL2,RDL,,22,0,1118,76,1130,79,CT_A1,47.5446502695,-1.55721870945
44 D0037,3,0,RG,RP2,RM,,3,0,2532,99,2559,104,CT_A1,47.4371261704,-1.67491239388
44 D0037,17,0,RG,RDL1,RDL,,17,0,4127,142,4171,148,CT_A1,47.3678726981,-1.55047122565
44 D0037,28,0,RG,RPU,RM,,28,0,9899,858,10006,897,CT_A1,47.2902887676,-1.4675502677
44 D0037,36,300,P,RP2,RM,ST JULIEN,36,300,10811,659,10342,714,CP,47.2554293088,-1.39018776827
44 D0037,37,0,RG,RPU,RM,,37,0,8197,457,8285,478,CT_A1,47.2550760606,-1.38048075023
44 D0039,40,200,RG,RDL2,RDL,,40,200,1627,74,1645,77,CT_A1,47.3320081192,-1.57105791718
44 D0042,28,0,RG,RDL2,RDL,,28,0,1056,42,1067,44,CT_A1,47.438700129,-1.75933148225
44 D0043,16,300,RG,RDL2,RDL,,16,300,1548,111,1565,116,CT_A1,47.3818077027,-1.87374107747
44 D0047,3,0,RG,RDL1,RDL,,3,0,5111,240,5166,251,CT_A1,47.4322007699,-2.3113506274
44 D0049,2,200,RG,RDL2,RDL,,2,200,1418,74,1433,77,CT_A1,47.3406686931,-1.5562288567
44 D0049,22,0,RG,RDL1,RDL,,22,0,1819,149,1839,156,CT_A1,47.3240227489,-1.80061261938
44 D0051,2,0,RG,RDL1,RDL,,2,0,3637,85,3676,89,CT_A1,47.4303911608,-2.26893946159
44 D0053,2,0,RG,RDL2,RDL,,2,0,1555,100,1572,105,CT_A1,47.2713534131,-1.3655099571
44 D0058,21,0,RG,RDL2,RDL,,21,0,916,33,926,35,CT_A1,47.153578778,-1.47689549986
44 D0058,61,200,P,RDL2,RDL,SAINT PERE,61,200,3235,214,3371,233,CP,47.1896946716,-1.9911209714
44 D0059,6,0,RG,RDL1,RDL,,6,0,3731,244,3771,255,CT_A1,47.1148077544,-1.35335573877
44 D0059,17,0,RG,RPU,RM,,17,0,5727,302,5789,316,CT_A1,47.1659916359,-1.45993785185
44 D0061,7,0,RG,RDL2,RDL,,7,0,942,79,952,83,CT_A1,46.9794704867,-1.58115863091
44 D0063,15,0,RG,RDL2,RDL,,15,0,1100,69,1112,72,CT_A1,47.0352230755,-1.53503181262
44 D0064,1,0,RG,RPU,RM,,1,0,4155,112,4200,117,CT_A1,47.1880464204,-1.69051409614
44 D0064,29,0,RG,RDL2,RDL,,29,0,1538,89,1555,93,CT_A1,46.9858999107,-1.8651408843
44 D0068,20,0,RG,RDL1,RDL,,20,0,11486,430,11610,450,CT_A1,47.2585984004,-1.45352213007
44 D0069,8,0,RG,RDL2,RDL,,8,0,822,63,831,66,CT_A1,47.6469128596,-1.4788602832
44 D0069,41,0,RG,RPU,RM,,41,0,8546,280,8638,293,CT_A1,47.3274062475,-1.53708778454
44 D0070,9,0,RG,RDL2,RDL,,9,0,1963,124,1984,130,CT_A1,47.0204609093,-1.60387997567
44 D0074,10,0,RG,RDL2,RDL,,10,0,1846,75,1866,78,CT_A1,47.1921785753,-1.40636945658
44 D0075,5,0,RG,RPU,RM,,5,0,4365,126,4412,132,CT_A1,47.2765201667,-1.6022583922
44 D0075,8,0,RG,RPU,RM,,8,0,18892,932,19095,974,CT_A1,47.2616306581,-1.6233366092
44 D0075,12,0,RG,RPU,RM,,12,0,19170,1516,19376,1585,CT_A1,47.2310385188,-1.64933118857
44 D0075,15,0,RG,RPU,RM,,15,0,7871,571,7956,597,CT_A1,47.207471871,-1.66658375319
