Annee,Nom_station_mesure,Agglo_station,az_CodeInsee,LATITUDE,LONGITUDE,Type_station,Moy_ann_microg/m3,Percentile98_ann_microg/m3,Moy_jour_maxi_microg/m3,Moy_hor_maxi_ann_microg/m3,Moy8_hor_maxi_ann_microg/m3,Objectif_qual_microg/m3_maxi_ann_delamoy8h
2015,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,56,105,110,146,139,120
2015,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,56,111,106,143,139,120
2014,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,58,111,138,151,138,120
2014,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,57,112,147,155,147,120
2013,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,59,126,131,175,159,120
2013,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,58,125,127,174,156,120
2012,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,56,112,132,178,172,120
2012,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,55,109,132,177,174,120
2011,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,58,119,116,160,150,120
2011,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,59,124,121,174,164,120
2010,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,56,118,107,169,152,120
2010,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,55,119,108,173,160,120
2010,THOUARE SUR LOIRE,NANTES,44204,47.272975,-1.432891667,PERIURBAINE,55,120,108,173,160,120
2009,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,53,103,92,142,125,120
2009,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,54,109,98,153,132,120
2009,CHAUVINIERE,NANTES,44109,47.222175,-1.537427778,URBAINE,51,108,94,154,135,120
2009,REZE,NANTES,44143,47.1838972,-1.553091667,URBAINE,52,106,95,149,129,120
2009,THOUARE SUR LOIRE,NANTES,44204,47.272975,-1.432891667,PERIURBAINE,51,105,97,151,131,120
2008,BELLEVUE,NANTES,44109,47.222175,-1.537427778,URBAINE,51,105,109,148,141,120
2008,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,55,108,115,155,149,120
